,0
121,"3, 2208, Note_on_c, 0, 64, 0
"
122,"3, 2208, Note_on_c, 0, 67, 0
"
123,"3, 2208, Note_on_c, 0, 60, 91
"
124,"3, 2208, Note_on_c, 0, 64, 91
"
125,"3, 2208, Note_on_c, 0, 67, 91
"
126,"3, 2256, Note_on_c, 0, 72, 0
"
127,"3, 2256, Note_on_c, 0, 69, 110
"
128,"3, 2304, Note_on_c, 0, 57, 0
"
129,"3, 2304, Note_on_c, 0, 60, 0
"
130,"3, 2304, Note_on_c, 0, 64, 0
"
131,"3, 2304, Note_on_c, 0, 67, 0
"
132,"3, 2304, Note_on_c, 0, 69, 0
"
133,"3, 2304, Note_on_c, 0, 55, 91
"
134,"3, 2304, Note_on_c, 0, 61, 91
"
135,"3, 2304, Note_on_c, 0, 65, 91
"
136,"3, 2304, Note_on_c, 0, 69, 110
"
137,"3, 2336, Note_on_c, 0, 72, 91
"
138,"3, 2368, Note_on_c, 0, 72, 0
"
139,"3, 2368, Note_on_c, 0, 77, 91
"
140,"3, 2400, Note_on_c, 0, 77, 0
"
141,"3, 2400, Note_on_c, 0, 81, 91
"
142,"3, 2592, Note_on_c, 0, 55, 0
"
143,"3, 2592, Note_on_c, 0, 61, 0
"
144,"3, 2592, Note_on_c, 0, 65, 0
"
145,"3, 2592, Note_on_c, 0, 69, 0
"
146,"3, 2592, Note_on_c, 0, 81, 0
"
147,"3, 2592, Note_on_c, 0, 57, 91
"
148,"3, 2592, Note_on_c, 0, 62, 91
"
149,"3, 2592, Note_on_c, 0, 69, 110
"
150,"3, 2640, Note_on_c, 0, 69, 0
"
151,"3, 2640, Note_on_c, 0, 65, 110
"
152,"3, 2688, Note_on_c, 0, 65, 0
"
153,"3, 2688, Note_on_c, 0, 65, 110
"
154,"3, 2784, Note_on_c, 0, 57, 0
"
155,"3, 2784, Note_on_c, 0, 62, 0
"
156,"3, 2784, Note_on_c, 0, 56, 91
"
157,"3, 2784, Note_on_c, 0, 61, 91
"
158,"3, 2832, Note_on_c, 0, 65, 0
"
159,"3, 2832, Note_on_c, 0, 64, 110
"
160,"3, 2880, Note_on_c, 0, 56, 0
"
161,"3, 2880, Note_on_c, 0, 61, 0
"
162,"3, 2880, Note_on_c, 0, 64, 0
"
163,"3, 2880, Note_on_c, 0, 55, 91
"
164,"3, 2880, Note_on_c, 0, 60, 91
"
165,"3, 2880, Note_on_c, 0, 67, 110
"
166,"3, 2928, Note_on_c, 0, 67, 0
"
167,"3, 2928, Note_on_c, 0, 64, 110
"
168,"3, 2976, Note_on_c, 0, 64, 0
"
169,"3, 2976, Note_on_c, 0, 64, 110
"
170,"3, 3072, Note_on_c, 0, 55, 0
"
171,"3, 3072, Note_on_c, 0, 60, 0
"
172,"3, 3072, Note_on_c, 0, 54, 91
"
173,"3, 3072, Note_on_c, 0, 59, 91
"
174,"3, 3120, Note_on_c, 0, 64, 0
"
175,"3, 3120, Note_on_c, 0, 63, 110
"
176,"3, 3168, Note_on_c, 0, 54, 0
"
177,"3, 3168, Note_on_c, 0, 59, 0
"
178,"3, 3168, Note_on_c, 0, 63, 0
"
179,"3, 3168, Note_on_c, 0, 53, 91
"
180,"3, 3168, Note_on_c, 0, 58, 91
"
181,"3, 3168, Note_on_c, 0, 62, 110
"
182,"3, 3216, Note_on_c, 0, 62, 0
"
183,"3, 3216, Note_on_c, 0, 65, 110
"
184,"3, 3264, Note_on_c, 0, 65, 0
"
185,"3, 3264, Note_on_c, 0, 62, 110
"
186,"3, 3360, Note_on_c, 0, 53, 0
"
187,"3, 3360, Note_on_c, 0, 58, 0
"
188,"3, 3360, Note_on_c, 0, 62, 0
"
189,"3, 3360, Note_on_c, 0, 55, 91
"
190,"3, 3360, Note_on_c, 0, 58, 91
"
191,"3, 3360, Note_on_c, 0, 61, 91
"
192,"3, 3360, Note_on_c, 0, 65, 110
"
193,"3, 3456, Note_on_c, 0, 55, 0
"
194,"3, 3456, Note_on_c, 0, 58, 0
"
195,"3, 3456, Note_on_c, 0, 61, 0
"
196,"3, 3456, Note_on_c, 0, 65, 0
"
197,"3, 3456, Note_on_c, 0, 52, 91
"
198,"3, 3456, Note_on_c, 0, 57, 91
"
199,"3, 3456, Note_on_c, 0, 60, 91
"
200,"3, 3456, Note_on_c, 0, 67, 110
"
201,"3, 3552, Note_on_c, 0, 76, 91
"
202,"3, 3558, Note_on_c, 0, 76, 0
"
203,"3, 3558, Note_on_c, 0, 84, 91
"
204,"3, 3744, Note_on_c, 0, 52, 0
"
205,"3, 3744, Note_on_c, 0, 57, 0
"
206,"3, 3744, Note_on_c, 0, 60, 0
"
207,"3, 3744, Note_on_c, 0, 67, 0
"
208,"3, 3744, Note_on_c, 0, 84, 0
"
209,"3, 3744, Note_on_c, 0, 57, 91
"
210,"3, 3744, Note_on_c, 0, 64, 91
"
211,"3, 3744, Note_on_c, 0, 67, 91
"
212,"3, 3744, Note_on_c, 0, 76, 110
"
213,"3, 3792, Note_on_c, 0, 76, 0
"
214,"3, 3792, Note_on_c, 0, 72, 110
"
215,"3, 3840, Note_on_c, 0, 72, 0
"
216,"3, 3840, Note_on_c, 0, 72, 110
"
217,"3, 3936, Note_on_c, 0, 64, 0
"
218,"3, 3936, Note_on_c, 0, 67, 0
"
219,"3, 3936, Note_on_c, 0, 60, 91
"
220,"3, 3936, Note_on_c, 0, 64, 91
"
221,"3, 3936, Note_on_c, 0, 67, 91
"
222,"3, 3984, Note_on_c, 0, 72, 0
"
223,"3, 3984, Note_on_c, 0, 69, 110
"
224,"3, 4032, Note_on_c, 0, 57, 0
"
225,"3, 4032, Note_on_c, 0, 60, 0
"
226,"3, 4032, Note_on_c, 0, 64, 0
"
227,"3, 4032, Note_on_c, 0, 67, 0
"
228,"3, 4032, Note_on_c, 0, 69, 0
"
229,"3, 4032, Note_on_c, 0, 55, 91
"
