cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.96433E+13,S,Bonita High,Bonita Unified,Los Angeles,508,289,512,523,515,164,56.75
1.96433E+13,S,San Dimas High,Bonita Unified,Los Angeles,296,151,495,508,479,62,41.06
1.96434E+13,D,,Burbank Unified,Los Angeles,1592,684,514,531,512,384,56.14
1.96434E+13,S,Burbank High,Burbank Unified,Los Angeles,630,330,518,551,520,202,61.21
1.96434E+13,S,Burroughs High,Burbank Unified,Los Angeles,608,326,515,519,508,175,53.68
1.96434E+13,S,Monterey High (Continuation),Burbank Unified,Los Angeles,115,1,*,*,*,*,*
1.96434E+13,S,Options for Youth-Burbank Charter,Burbank Unified,Los Angeles,220,27,473,446,453,7,25.93
1.96435E+13,D,,Centinela Valley Union High,Los Angeles,1817,644,418,417,420,97,15.06
1.96435E+13,S,Centinela Valley Independent Study,Centinela Valley Union High,Los Angeles,203,0,NA,NA,NA,NA,NA
1.96435E+13,S,R. K. Lloyde High,Centinela Valley Union High,Los Angeles,130,1,*,*,*,*,*
1.96435E+13,S,Hawthorne High,Centinela Valley Union High,Los Angeles,524,172,415,406,417,18,10.47
1.96435E+13,S,Lawndale High,Centinela Valley Union High,Los Angeles,530,295,432,436,434,64,21.69
1.96435E+13,S,Leuzinger High,Centinela Valley Union High,Los Angeles,423,176,398,397,399,15,8.52
1.96438E+13,D,,Charter Oak Unified,Los Angeles,499,287,465,476,467,101,35.19
1.96438E+13,S,Charter Oak High,Charter Oak Unified,Los Angeles,438,286,465,476,467,100,34.97
1.96438E+13,S,Oak Knoll Alternative,Charter Oak Unified,Los Angeles,15,1,*,*,*,*,*
1.96439E+13,D,,Claremont Unified,Los Angeles,657,422,524,529,521,250,59.24
1.96439E+13,S,Claremont High,Claremont Unified,Los Angeles,602,422,524,529,521,250,59.24
1.96444E+13,D,,Covina-Valley Unified,Los Angeles,1280,603,455,476,450,172,28.52
1.96444E+13,S,Fairvalley High (Continuation),Covina-Valley Unified,Los Angeles,105,1,*,*,*,*,*
1.96444E+13,S,Covina High,Covina-Valley Unified,Los Angeles,348,156,453,477,447,43,27.56
1.96444E+13,S,Northview High,Covina-Valley Unified,Los Angeles,367,210,437,449,436,43,20.48
1.96444E+13,S,South Hills High,Covina-Valley Unified,Los Angeles,460,236,473,499,465,85,36.02
1.96444E+13,D,,Culver City Unified,Los Angeles,551,304,521,521,515,163,53.62
1.96444E+13,S,Culver City High,Culver City Unified,Los Angeles,498,304,521,521,515,163,53.62
1.96445E+13,D,,Downey Unified,Los Angeles,2181,896,465,469,456,262,29.24
1.96445E+13,S,Downey High,Downey Unified,Los Angeles,1058,475,461,466,453,126,26.53
1.96445E+13,S,Warren High,Downey Unified,Los Angeles,898,421,469,472,460,136,32.3
1.96447E+13,D,,Duarte Unified,Los Angeles,425,127,443,449,447,31,24.41
1.96447E+13,S,Opportunities for Learning - Duarte,Duarte Unified,Los Angeles,126,0,NA,NA,NA,NA,NA
1.96447E+13,S,Duarte High,Duarte Unified,Los Angeles,273,127,443,449,447,31,24.41
1.96452E+13,D,,El Monte Union High,Los Angeles,2513,1111,452,475,453,351,31.59
1.96452E+13,S,Arroyo High,El Monte Union High,Los Angeles,569,295,465,483,462,102,34.58
1.96452E+13,S,El Monte High,El Monte Union High,Los Angeles,476,221,437,461,437,56,25.34
1.96452E+13,S,Mountain View High,El Monte Union High,Los Angeles,377,152,428,439,430,28,18.42
