cds,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrRead,AvgScrMath,AvgScrWrite,NumGE1500,PctGE1500
1.06227E+13,D,,Kings Canyon Joint Unified,Fresno,754,235,441,446,437,57,24.26
1.06227E+13,S,Orange Cove High,Kings Canyon Joint Unified,Fresno,121,56,393,395,405,1,1.79
1.06227E+13,S,Dunlap Leadership Academy,Kings Canyon Joint Unified,Fresno,30,0,NA,NA,NA,NA,NA
1.06227E+13,S,Mountain View (Alternative),Kings Canyon Joint Unified,Fresno,99,1,*,*,*,*,*
1.06227E+13,S,Reedley High,Kings Canyon Joint Unified,Fresno,449,178,456,462,448,56,31.46
1.06228E+13,D,,Laton Joint Unified,Fresno,47,0,NA,NA,NA,NA,NA
1.06228E+13,S,Laton High,Laton Joint Unified,Fresno,47,0,NA,NA,NA,NA,NA
1.06233E+13,D,,Orange Center,Fresno,23,0,NA,NA,NA,NA,NA
1.06233E+13,S,National University Academy - Orange Center,Orange Center,Fresno,12,0,NA,NA,NA,NA,NA
1.06233E+13,S,Academy of Arts and Sciences: Fresno,Orange Center,Fresno,11,0,NA,NA,NA,NA,NA
1.06236E+13,D,,Parlier Unified,Fresno,225,78,387,398,386,5,6.41
1.06236E+13,S,Parlier High,Parlier Unified,Fresno,185,78,387,398,386,5,6.41
1.06238E+13,D,,Raisin City Elementary,Fresno,291,0,NA,NA,NA,NA,NA
1.06238E+13,S,Ambassador Phillip V. Sanchez Public Charter,Raisin City Elementary,Fresno,291,0,NA,NA,NA,NA,NA
1.06241E+13,D,,Sanger Unified,Fresno,714,309,437,446,432,65,21.04
1.06241E+13,S,Taft High,Sanger Unified,Fresno,39,0,NA,NA,NA,NA,NA
1.06241E+13,S,Hallmark Charter,Sanger Unified,Fresno,41,21,475,445,460,7,33.33
1.06241E+13,S,Kings River High (Continuation),Sanger Unified,Fresno,41,1,*,*,*,*,*
1.06241E+13,S,Sanger High,Sanger Unified,Fresno,593,287,434,446,430,58,20.21
1.06243E+13,D,,Selma Unified,Fresno,427,186,434,422,425,32,17.2
1.06243E+13,S,Selma Independent,Selma Unified,Fresno,36,0,NA,NA,NA,NA,NA
1.06243E+13,S,Selma High,Selma Unified,Fresno,375,186,434,422,425,32,17.2
1.06254E+13,D,,West Park Elementary,Fresno,107,0,NA,NA,NA,NA,NA
1.06254E+13,S,West Park Charter Academy,West Park Elementary,Fresno,107,0,NA,NA,NA,NA,NA
1.06255E+13,D,,Westside Elementary,Fresno,306,1,*,*,*,*,*
1.06255E+13,S,Crescent View South Charter,Westside Elementary,Fresno,305,0,NA,NA,NA,NA,NA
1.06255E+13,S,Opportunities For Learning - Fresno,Westside Elementary,Fresno,1,1,*,*,*,*,*
1.07381E+13,D,,Firebaugh-Las Deltas Unified,Fresno,174,84,401,373,396,4,4.76
1.07381E+13,S,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,168,84,401,373,396,4,4.76
1.07397E+13,D,,Central Unified,Fresno,1071,368,451,449,449,92,25
1.07397E+13,S,Central Unified Alternative/Opportunity,Central Unified,Fresno,126,0,NA,NA,NA,NA,NA
1.07397E+13,S,Central High East Campus,Central Unified,Fresno,877,368,451,449,449,92,25
1.074E+13,D,,Kerman Unified,Fresno,312,132,434,426,425,21,15.91
1.074E+13,S,Kerman High,Kerman Unified,Fresno,292,132,434,426,425,21,15.91
1.07513E+13,D,,Mendota Unified,Fresno,192,62,385,395,378,4,6.45
1.07513E+13,S,Mendota High,Mendota Unified,Fresno,184,62,385,395,378,4,6.45
1.07523E+13,D,,Golden Plains Unified,Fresno,122,55,375,402,386,4,7.27
1.07523E+13,S,Tranquillity High,Golden Plains Unified,Fresno,109,55,375,402,386,4,7.27
1.07528E+13,D,,Sierra Unified,Fresno,148,50,522,500,501,24,48
1.07528E+13,S,Sierra High,Sierra Unified,Fresno,132,50,522,500,501,24,48
1.07541E+13,D,,Riverdale Joint Unified,Fresno,130,69,422,424,429,12,17.39
1.07541E+13,S,Riverdale High,Riverdale Joint Unified,Fresno,127,69,422,424,429,12,17.39
1.0756E+13,D,,Caruthers Unified,Fresno,150,72,413,422,397,10,13.89
