,0
119,"2, 2592, Note_on_c, 0, 68, 0
"
120,"2, 2592, Note_on_c, 0, 63, 0
"
121,"2, 2592, Note_on_c, 0, 60, 107
"
122,"2, 2592, Note_on_c, 0, 63, 107
"
123,"2, 2592, Note_on_c, 0, 46, 90
"
124,"2, 2592, Note_on_c, 0, 68, 110
"
125,"2, 2638, Note_on_c, 0, 46, 0
"
126,"2, 2640, Note_on_c, 0, 34, 90
"
127,"2, 2686, Note_on_c, 0, 34, 0
"
128,"2, 2688, Note_on_c, 0, 60, 0
"
129,"2, 2688, Note_on_c, 0, 63, 0
"
130,"2, 2688, Note_on_c, 0, 68, 0
"
131,"2, 2688, Note_on_c, 0, 67, 110
"
132,"2, 2688, Note_on_c, 0, 58, 107
"
133,"2, 2688, Note_on_c, 0, 34, 90
"
134,"2, 2688, Note_on_c, 0, 46, 107
"
135,"2, 2688, Note_on_c, 0, 63, 107
"
136,"2, 2784, Note_on_c, 0, 67, 0
"
137,"2, 2784, Note_on_c, 0, 58, 0
"
138,"2, 2784, Note_on_c, 0, 63, 0
"
139,"2, 2784, Note_on_c, 0, 58, 107
"
140,"2, 2784, Note_on_c, 0, 63, 107
"
141,"2, 2784, Note_on_c, 0, 67, 110
"
142,"2, 2827, Note_on_c, 0, 34, 0
"
143,"2, 2832, Note_on_c, 0, 46, 0
"
144,"2, 2832, Note_on_c, 0, 34, 90
"
145,"2, 2878, Note_on_c, 0, 34, 0
"
146,"2, 2880, Note_on_c, 0, 46, 90
"
147,"2, 2926, Note_on_c, 0, 46, 0
"
148,"2, 2928, Note_on_c, 0, 34, 90
"
149,"2, 3021, Note_on_c, 0, 34, 0
"
150,"2, 3024, Note_on_c, 0, 34, 90
"
151,"2, 3024, Note_on_c, 0, 46, 107
"
152,"2, 3117, Note_on_c, 0, 34, 0
"
153,"2, 3120, Note_on_c, 0, 46, 0
"
154,"2, 3120, Note_on_c, 0, 34, 90
"
155,"2, 3168, Note_on_c, 0, 58, 0
"
156,"2, 3168, Note_on_c, 0, 63, 0
"
157,"2, 3168, Note_on_c, 0, 67, 0
"
158,"2, 3213, Note_on_c, 0, 34, 0
"
159,"2, 3216, Note_on_c, 0, 60, 107
"
160,"2, 3216, Note_on_c, 0, 46, 107
"
161,"2, 3216, Note_on_c, 0, 34, 90
"
162,"2, 3216, Note_on_c, 0, 68, 110
"
163,"2, 3216, Note_on_c, 0, 63, 107
"
